Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ADANIPORTS,28,271.4,782,21896,14296.7,188.13,0.79
AMARAJABAT,12,592.1,794.75,9537,2431.75,34.22,1.27
AXISBANK,47,389.49,709.2,33332.4,15026.2,82.08,-0.38
BAJAJ-AUTO,1,2720,4080.95,4080.95,1360.95,50.03,0.34
BAJFINANCE,11,2583.71,5638.4,62022.4,33601.55,118.23,-0.89
BALRAMCHIN,10,82,325.15,3251.5,2431.5,296.52,4.1
BHARTIARTL,13,487.95,533.6,6936.8,593.4,9.35,-0.51
BSOFT,15,201.9,272,4080,1051.5,34.72,1.99
CIPLA,10,654.57,893.3,8933,2387.3,36.47,1.01
CYIENT,10,760.98,802.75,8027.5,417.75,5.49,-0.23
DABUR,8,455.62,534.05,4272.4,627.45,17.21,0.56
DRREDDY,1,3950,5220.85,5220.85,1270.85,32.17,0.1
EXIDEIND,17,140.45,187.9,3194.3,806.65,33.78,0.29
GODREJCP,5,495.51,822.85,4114.25,1636.7,66.06,0.81
GRASIM,5,513,1397.6,6988,4423,172.44,0.37
HDFC,12,1896.9,2489,29868,7105.15,31.21,-0.55
HDFCBANK,2,985.4,1460.65,2921.3,950.5,48.23,-1.11
HDFCLIFE,7,473.22,668.8,4681.6,1369.05,41.33,0.26
HINDUNILVR,3,2044.5,2374.7,7124.1,990.6,16.15,0.02
INDUSINDBK,13,517.97,967.15,12572.95,5839.3,86.72,-0.76
INFY,21,885.79,1348.1,28310.1,9708.55,52.19,0.6
IRCTC,10,1428.16,1863.9,18639,4357.4,30.51,1.57
JINDALSTEL,28,151.81,434.65,12170.2,7919.6,186.32,-1.11
JSWSTEEL,6,231.43,714.6,4287.6,2899.05,208.78,-0.4
LAURUSLABS,15,317.53,480.1,7201.5,2438.5,51.2,-0.06
LT,10,1139.97,1413,14130,2730.3,23.95,-0.33
M&M,12,515.38,783.05,9396.6,3212.1,51.94,-1.85
MARICO,11,271.78,468.75,5156.25,2166.65,72.47,-0.8
RELIANCE,9,1729.62,1981.9,17837.1,2270.5,14.59,-0.3
SBICARD,11,673.08,1008.3,11091.3,3687.4,49.8,1.59
TATAMOTORS,24,141.21,315.45,7570.8,4181.85,123.4,-5.11
TCS,8,2351.46,3109.25,24874,6062.3,32.23,0.64
